User-ID,ISBN,Book-Rating
276744,038550120X,7
276754,0684867621,8
276755,0451166892,5
276762,0380711524,5
276772,0553572369,7
276772,3499230933,10
276788,0345443683,8
276788,043935806X,7
276788,055310666X,10
276796,0330332775,5
276798,3548603203,6
276804,0440498058,8
276811,0440414121,10
276813,8426449476,8
276822,0060096195,10
276822,0141310340,9
276822,0375821813,9
276822,0689804458,8
276822,0786817070,10
276828,2253150711,7
276830,0440225825,9
276832,0345446860,5
276837,0380005239,5
276850,0449217264,7
276859,0836218833,10
276859,0836220889,10
276859,088365721X,9
276861,3423201509,10
276861,360893541X,9
276861,3608935428,9
276861,3608935436,9
276866,3404139178,9
276866,345309221X,8
276872,042518109X,8
276872,0425188221,7
276875,8817106100,6
276875,8838910987,8
276887,0064430227,5
276887,0812533550,9
276896,0440241537,10
276904,0440228840,10
276904,0440414121,10
276905,0060542845,8
276911,8420636282,9
276911,8432205311,9
276925,002542730X,10
276925,0140154078,6
276925,0385504209,8
276925,0553275283,8
276925,063403541X,6
276925,8420432113,5
276925,950491036X,10
276928,059030271X,5
276928,0671021354,10
276928,0671026283,10
276929,2020564777,6
276929,2070404587,10
276929,2253171670,8
276929,2264031158,6
276929,2266102621,10
276929,2266104535,2
276936,3596122279,5
276939,2070419657,7
276939,2253063339,9
276939,2253137243,9
276939,2253144452,9
276939,2253152072,9
276939,226612269X,9
276939,8423310353,8
276953,0446310786,10
276954,3423118709,10
276957,0312966970,6
276984,0590448595,9
276986,0060930187,10
276986,0375760911,10
276986,0689817851,10
276986,0874869870,10
276988,0061083259,7
276988,0061094404,8
276988,0671793489,8
276994,3257062354,8
276994,3423202327,6
276994,3492045170,7
276994,3548359698,6
276994,3596214629,8
276998,0618045996,8
277009,0452282101,9
277012,0553581112,9
277012,0805047379,5
277012,0892964456,10
277018,0373250223,7
277028,0425182150,10
277031,1883473004,8
277032,0061007129,8
277036,0812511816,9
277036,0880381736,9
277036,0880381744,10
277042,0312283709,8
277042,0446605484,7
277042,0446611212,8
277042,0451207955,7
277042,0609804138,9
277042,074343627X,8
277042,0971880107,2
277048,3426615355,7
