User-ID,User-City,User-State,User-Country,User-Age
9,germantown, tennessee," usa""",
16,albuquerque, new mexico," usa""",
17,chesapeake, virginia," usa""",
26,bellevue, washington," usa""",
32,portland, oregon," usa""",
39,cary, north carolina," usa""",
42,appleton, wisconsin," usa""",17
44,black mountain, north carolina," usa""",51
51,renton, washington," usa""",34
53,tacoma, washington," usa""",
56,cheyenne, wyoming," usa""",24
73,wentzville, missouri," usa""",
75,long beach, california," usa""",37
78,oakland, california," usa""",18
81,santa cruz, california," usa""",
83,eugene, oregon," usa""",
97,mechanicsburg, pennsylvania," usa""",
99,franktown, colorado," usa""",42
114,ligonier, pennsylvania," usa""",57
125,lansing, michigan," usa""",49
129,bloomington, minnesota," usa""",47
165,olympia, washington," usa""",62
169,arlington, virginia," usa""",
178,rexford, new york," usa""",28
185,baton rouge, louisiana," usa""",17
224,strafford, missouri," usa""",
226,new york, new york," usa""",
228,ann arbor, michigan," usa""",41
230,ny, new york," usa""",
243,arden hills, minnesota," usa""",
244,college station, texas," usa""",
254,minneapolis, minnesota," usa""",24
256,boston, massachusetts," usa""",
272,walla walla, washington," usa""",20
280,yakima, washington," usa""",
291,ft. collins, colorado," usa""",
300,newport news, virginia," usa""",
326,parkville, missouri," usa""",
332,lake oswego, oregon," usa""",59
356,leesburg, virginia," usa""",
367,culver city, california," usa""",45
383,carmichael, california," usa""",
387,charity, missouri," usa""",17
388,nashville, tennessee," usa""",35
408,mountain view, california," usa""",17
413,naperville, illinois," usa""",17
424,portland, oregon," usa""",29
430,silver spring, maryland," usa""",
431,ridgway, pennsylvania," usa""",40
433,smock, pennsylvania," usa""",48
440,brookfield, wisconsin," usa""",16
441,spokane, washington," usa""",
444,sweet home, oregon," usa""",40
446,chevy chase, dc," usa""",
453,charleston, west virginia," usa""",
476,rome, new york," usa""",
486,portland, oregon," usa""",31
487,houston, texas," usa""",
493,manhattan, kansas," usa""",29
496,west salem, wisconsin," usa""",51
499,la verne, california," usa""",62
503,el centro, california," usa""",40
505,washington, dc," usa""",51
507,dumas, arkansas," usa""",
508,portland, oregon," usa""",29
512,winter springs, florida," usa""",58
513,savannah, georgia," usa""",
523,bozeman, montana," usa""",19
565,franklin, tennessee," usa""",48
566,springfield, illinois," usa""",
567,spokane, washington," usa""",
592,boston, massachusetts," usa""",
595,hollywood, florida," usa""",17
596,san francisco, california," usa""",49
619,long beach, mississippi," usa""",
638,san diego, california," usa""",20
639,washington dc, virginia," usa""",
641,portland, oregon," usa""",
649,san diego, california," usa""",
650,santa cruz, california," usa""",
651,interlachen, florida," usa""",26
657,chattanooga, tennessee," usa""",
660,ny, new york," usa""",
677,baton rouge, louisiana," usa""",27
683,union, illinois," usa""",28
685,stevens point, wisconsin," usa""",21
709,roanoke, virginia," usa""",14
