User-ID,User-City,User-State,User-Country,User-Age
42,appleton, wisconsin," usa""",17.0
44,black mountain, north carolina," usa""",51.0
51,renton, washington," usa""",34.0
56,cheyenne, wyoming," usa""",24.0
75,long beach, california," usa""",37.0
78,oakland, california," usa""",18.0
99,franktown, colorado," usa""",42.0
114,ligonier, pennsylvania," usa""",57.0
125,lansing, michigan," usa""",49.0
129,bloomington, minnesota," usa""",47.0
165,olympia, washington," usa""",62.0
178,rexford, new york," usa""",28.0
185,baton rouge, louisiana," usa""",17.0
228,ann arbor, michigan," usa""",41.0
254,minneapolis, minnesota," usa""",24.0
272,walla walla, washington," usa""",20.0
332,lake oswego, oregon," usa""",59.0
367,culver city, california," usa""",45.0
387,charity, missouri," usa""",17.0
388,nashville, tennessee," usa""",35.0
408,mountain view, california," usa""",17.0
413,naperville, illinois," usa""",17.0
424,portland, oregon," usa""",29.0
431,ridgway, pennsylvania," usa""",40.0
433,smock, pennsylvania," usa""",48.0
440,brookfield, wisconsin," usa""",16.0
444,sweet home, oregon," usa""",40.0
486,portland, oregon," usa""",31.0
493,manhattan, kansas," usa""",29.0
496,west salem, wisconsin," usa""",51.0
499,la verne, california," usa""",62.0
503,el centro, california," usa""",40.0
505,washington, dc," usa""",51.0
508,portland, oregon," usa""",29.0
512,winter springs, florida," usa""",58.0
523,bozeman, montana," usa""",19.0
565,franklin, tennessee," usa""",48.0
595,hollywood, florida," usa""",17.0
596,san francisco, california," usa""",49.0
638,san diego, california," usa""",20.0
651,interlachen, florida," usa""",26.0
677,baton rouge, louisiana," usa""",27.0
683,union, illinois," usa""",28.0
685,stevens point, wisconsin," usa""",21.0
709,roanoke, virginia," usa""",14.0
726,eatontown, new jersey," usa""",31.0
735,cortland, new york," usa""",29.0
741,novinger, missouri," usa""",16.0
744,ocala, florida," usa""",48.0
746,longmont, colorado," usa""",36.0
757,philadelphia, pennsylvania," usa""",29.0
771,ft. sill, oklahoma," usa""",38.0
774,wentzville, missouri," usa""",16.0
786,panhandle, texas," usa""",48.0
805,sonoma, california," usa""",34.0
824,albuquerque, new mexico," usa""",15.0
828,albuquerque, new mexico," usa""",35.0
834,rockville, maryland," usa""",17.0
843,deer lodge, tennessee," usa""",25.0
853,chesterfield, michigan," usa""",24.0
882,berkeley, california," usa""",23.0
883,brookfield, connecticut," usa""",43.0
887,castaic, california," usa""",30.0
900,scranton, pennsylvania," usa""",25.0
902,overland, missouri," usa""",18.0
903,los angeles, california," usa""",19.0
915,humble, texas," usa""",50.0
965,las cruces, new mexico," usa""",24.0
969,river forest, illinois," usa""",13.0
999,newark, delaware," usa""",21.0
1009,delano, minnesota," usa""",56.0
1010,silver spring, maryland," usa""",26.0
1031,sparks, maryland," usa""",52.0
1038,dallas, texas," usa""",26.0
1054,burnsville, minnesota," usa""",37.0
1060,lincoln, nebraska," usa""",38.0
1075,hurst, texas," usa""",49.0
1082,rochester, washington," usa""",36.0
1113,richmond, missouri," usa""",22.0
1129,bothell, washington," usa""",53.0
1140,bridgewater, new jersey," usa""",19.0
1150,jericho, vermont," usa""",25.0
1155,smyrna, georgia," usa""",22.0
1164,woburn, massachusetts," usa""",35.0
1167,milwaukee, wisconsin," usa""",25.0
1169,olympia, washington," usa""",27.0
1180,storrs, connecticut," usa""",23.0
1184,la mirada, california," usa""",38.0
1250,arlington, virginia," usa""",44.0
1261,el paso, texas," usa""",46.0
1297,los gatos, california," usa""",30.0
1309,walker, louisiana," usa""",28.0
1368,hopewell, virginia," usa""",22.0
1375,dinwiddie, virginia," usa""",59.0
1377,swansea, massachusetts," usa""",20.0
1389,trenton, michigan," usa""",22.0
1396,santa barbara, california," usa""",35.0
1399,york, maine," usa""",41.0
1403,virginia beach, virginia," usa""",26.0
1409,farmington hills, michigan," usa""",74.0
1410,amherst, new york," usa""",22.0
1412,winston-salem, north carolina," usa""",47.0
1427,mililani, hawaii," usa""",22.0
1433,woodbridge, california," usa""",54.0
1435,st. louis, missouri," usa""",36.0
1448,la mesa, california," usa""",61.0
1485,allendale, new jersey," usa""",30.0
1489,somerville, massachusetts," usa""",20.0
1511,cuyahoga falls, ohio," usa""",25.0
1513,oak hill, virginia," usa""",40.0
1515,bloomington, indiana," usa""",27.0
1519,raleigh, north carolina," usa""",61.0
1530,hartsdale, new york," usa""",26.0
1535,virginia beach, virginia," usa""",69.0
1548,brooklyn, new york," usa""",28.0
1554,lincoln, nebraska," usa""",29.0
1558,normal, illinois," usa""",61.0
1570,brooklyn, new york," usa""",28.0
1585,albuquerque, new mexico," usa""",29.0
1596,jackson, tennessee," usa""",51.0
1597,west columbia, texas," usa""",23.0
1608,collingswood, new jersey," usa""",27.0
1617,chicago, illinois," usa""",24.0
1641,winston salem, north carolina," usa""",22.0
1674,minneapolis, minnesota," usa""",26.0
1706,olympia, washington," usa""",26.0
1718,framingham, massachusetts," usa""",28.0
1730,el paso, texas," usa""",33.0
1733,independence, west virginia," usa""",30.0
1759,hollywood, florida," usa""",29.0
1768,newington, connecticut," usa""",25.0
1773,northridge, california," usa""",16.0
1775,albuquerque, new mexico," usa""",14.0
1790,chicago, illinois," usa""",25.0
1803,northville, new york," usa""",48.0
1812,provo, utah," usa""",24.0
1848,bellingham, washington," usa""",22.0
1869,westfield, massachusetts," usa""",21.0
1881,binghamton, new york," usa""",31.0
1892,fort wayne, indiana," usa""",47.0
1898,waukegan, illinois," usa""",47.0
1928,kansas city, missouri," usa""",17.0
1937,bozeman, montana," usa""",42.0
1945,wrightsville beach, north carolina," usa""",54.0
1989,phoenix, arizona," usa""",27.0
2030,seabeck, washington," usa""",31.0
2033,omaha, nebraska," usa""",27.0
2035,longwood, florida," usa""",15.0
2036,frenchtown, new jersey," usa""",49.0
2060,pennsauken, new york," usa""",54.0
2070,pembroke pines, florida," usa""",22.0
2090,dudley, massachusetts," usa""",28.0
2103,minneapolis, minnesota," usa""",43.0
2106,denver, colorado," usa""",44.0
2115,escondido, california," usa""",55.0
2134,oakland, california," usa""",35.0
2136,salem, oregon," usa""",45.0
2139,chesapeake, virginia," usa""",33.0
2147,las vegas, nevada," usa""",35.0
2152,grosse pointe, michigan," usa""",1.0
2179,sunderland, massachusetts," usa""",30.0
2190,lenexa, kansas," usa""",29.0
2218,stratham, new hampshire," usa""",48.0
2230,harpers ferry, west virginia," usa""",44.0
2238,san diego, california," usa""",34.0
2255,charlottesville, virginia," usa""",35.0
2276,niskayuna, new york," usa""",46.0
2281,vancouver, washington," usa""",30.0
2287,north chili, new york," usa""",35.0
2288,spring hill, tennessee," usa""",30.0
2295,el sobrante, california," usa""",21.0
2296,wenatchee, washington," usa""",61.0
2313,cincinnati, ohio," usa""",23.0
2337,grove city, ohio," usa""",34.0
2340,st. louis, missouri," usa""",29.0
2350,st. louis, missouri," usa""",24.0
2357,philadelphia, pennsylvania," usa""",35.0
2358,bryan, texas," usa""",23.0
2363,mountain home, idaho," usa""",42.0
2366,lathrup village, michigan," usa""",16.0
2375,norfolk, virginia," usa""",20.0
2376,bay village, ohio," usa""",38.0
2388,hawley, pennsylvania," usa""",64.0
2399,kent, ohio," usa""",32.0
2411,lake city, florida," usa""",37.0
2417,lakeland, florida," usa""",35.0
2437,san antonio, texas," usa""",45.0
2439,atlanta, georgia," usa""",26.0
2461,san francisco, california," usa""",59.0
2470,phoenix, arizona," usa""",22.0
2499,boulder, colorado," usa""",49.0
2562,wheeling, illinois," usa""",53.0
2590,el cerrito, california," usa""",26.0
2605,marina del rey, california," usa""",33.0
2622,los angeles, california," usa""",41.0
2630,kingsland, texas," usa""",66.0
2632,farmingdale, new york," usa""",47.0
2634,addison, texas," usa""",53.0
2640,college station, texas," usa""",24.0
2643,cedar park, texas," usa""",28.0
2653,los angeles, california," usa""",46.0
2687,tucson, arizona," usa""",35.0
2690,cordele, georgia," usa""",35.0
2700,kenosha, wisconsin," usa""",29.0
