ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Year-Of-Publication-Bin,Book-Author-Encode,Book-Publisher-Encode,Year-Of-Publication-Bin-Encode,Filtered-Title
0002005018,clara callan,Richard Bruce Wright,2001,HarperFlamingo Canada,"[2000, 2020)",5190,522,5,clara callan
0374157065,flu story great influenza pandemic search virus caused,Gina Bari Kolata,1999,Farrar Straus Giroux,"[1980, 2000)",2169,406,4,flu  great influenza pandemic search virus caused
0399135782,kitchen god wife,Amy Tan,1991,Putnam Pub Group,"[1980, 2000)",240,952,4,kitchen god wife
0440234743,testament,John Grisham,1999,Dell,"[1980, 2000)",3079,287,4,testament
0452264464,beloved plume contemporary fiction,Toni Morrison,1994,Plume,"[1980, 2000)",6132,910,4,beloved plume contemporary fiction
0609804618,dumb century onion present year headline america finest news source,The Onion,1999,Three Rivers Press,"[1980, 2000)",6020,1176,4,dumb century onion present year headline america finest news source
1841721522,new vegetarian bold beautiful recipe every occasion,Celia Brooks Brown,2001,Ryland Peters & Small Ltd,"[2000, 2020)",975,1026,5,new vegetarian bold beautiful recipe every occasion
0971880107,wild animus,Rich Shapero,2004,Too Far,"[2000, 2020)",5177,1188,5,wild animus
0345402871,airframe,Michael Crichton,1997,Ballantine Books,"[1980, 2000)",4370,111,4,airframe
0345417623,timeline,MICHAEL CRICHTON,2000,Ballantine Books,"[2000, 2020)",4024,111,5,timeline
0375759778,prague novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,"[2000, 2020)",69,974,5,prague
0375406328,lying awake,Mark Salzman,2000,Alfred A. Knopf,"[2000, 2020)",4179,39,5,lying awake
0446310786,kill mockingbird,Harper Lee,1988,Little Brown & Company,"[1980, 2000)",2299,681,4,kill mockingbird
0449005615,seabiscuit american legend,LAURA HILLENBRAND,2002,Ballantine Books,"[2000, 2020)",3600,111,5,seabiscuit american legend
0060168013,pig heaven,Barbara Kingsolver,1993,Harpercollins,"[1980, 2000)",527,530,4,pig heaven
0061099686,downtown,Anne Rivers Siddons,1995,HarperTorch,"[1980, 2000)",365,528,4,downtown
0553582909,icebound,Dean R. Koontz,2000,Bantam Books,"[2000, 2020)",1417,113,5,icebound
0671888587,seeing,Mary Higgins Clark,1994,Pocket,"[1980, 2000)",4239,913,4,seeing
0553582747,corner eye,Dean Koontz,2001,Bantam Books,"[2000, 2020)",1416,113,5,corner eye
0425182908,isle dog,Patricia Cornwell,2002,Berkley Publishing Group,"[2000, 2020)",4811,145,5,isle dog
042518630X,purity death,J.D. Robb,2002,Berkley Publishing Group,"[2000, 2020)",2506,145,5,purity death
0440223571,year different story,Maeve Binchy,1997,Dell,"[1980, 2000)",4047,287,4,year different
0842342702,left behind novel earth last day left behind,Tim Lahaye,2000,Tyndale House Publishers,"[2000, 2020)",6077,1217,5,left behind  earth last day left behind
0440225701,street lawyer,JOHN GRISHAM,1999,Dell,"[1980, 2000)",2556,287,4,street lawyer
0060914068,love medicine miracle,M.D. Bernie S. Siegel,1988,HarperCollins Publishers,"[1980, 2000)",3981,518,4,love medicine miracle
0380715899,soldier great war,Mark Helprin,1992,Avon Books,"[1980, 2000)",4174,95,4,soldier great war
0671623249,lonesome dove,Larry McMurtry,1986,Pocket,"[1980, 2000)",3659,913,4,lonesome dove
0679810307,shabanu daughter wind border trilogy,SUZANNE FISHER STAPLES,1991,Laurel Leaf,"[1980, 2000)",5515,655,4,shabanu daughter wind border trilogy
0679865691,haveli laurel leaf book,SUZANNE FISHER STAPLES,1995,Laurel Leaf,"[1980, 2000)",5515,655,4,haveli laurel leaf
042511774X,breathing lesson,Anne Tyler,1994,Berkley Publishing Group,"[1980, 2000)",368,145,4,breathing lesson
0804106304,joy luck club,Amy Tan,1994,Prentice Hall (K-12),"[1980, 2000)",240,929,4,joy luck club
1853260053,te urbervilles wordsworth classic,Thomas Hardy,1997,NTC/Contemporary Publishing Company,"[1980, 2000)",6037,775,4,te urbervilles wordsworth classic
0060938412,accidental virgin,Valerie Frankel,2003,Avon Trade,"[2000, 2020)",6207,96,5,accidental virgin
0140067477,tao pooh,Benjamin Hoff,1983,Penguin Books,"[1980, 2000)",591,860,4,tao pooh
