User-ID,User-City,User-State,User-Country,User-Age,User-Age-Bin,User-City_Encoded,User-State_Encoded,User-Country_Encoded,User-Age-Encoded
8,timmins,ontario,canada,-1,others,8401,22,1,0
9,germantown,others,usa,-1,others,3043,23,6,0
16,albuquerque,others,usa,-1,others,135,23,6,0
17,chesapeake,others,usa,-1,others,1538,23,6,0
19,weston,florida,usa,14,0~20,9099,8,6,15
26,bellevue,washington,usa,-1,others,647,32,6,0
32,portland,others,usa,-1,others,6666,23,6,0
39,cary,others,usa,-1,others,1356,23,6,0
42,appleton,others,usa,17,0~20,300,23,6,18
44,black mountain,others,usa,51,40~60,800,23,6,52
51,renton,washington,usa,34,20~40,6919,32,6,35
53,tacoma,washington,usa,-1,others,8238,32,6,0
56,cheyenne,others,usa,24,20~40,1556,23,6,25
69,vancouver,british columbia,canada,-1,others,8675,4,1,0
73,wentzville,others,usa,-1,others,8992,23,6,0
75,long beach,california,usa,37,20~40,4737,5,6,38
78,oakland,california,usa,18,0~20,6045,5,6,19
81,santa cruz,california,usa,-1,others,7363,5,6,0
83,eugene,others,usa,-1,others,2590,23,6,0
85,london,england,united kingdom,41,40~60,4732,7,5,42
97,mechanicsburg,others,usa,-1,others,5106,23,6,0
99,franktown,others,usa,42,40~60,2856,23,6,43
107,lethbridge,alberta,canada,-1,others,4585,0,1,0
114,ligonier,others,usa,57,40~60,4626,23,6,58
125,lansing,others,usa,49,40~60,4444,23,6,50
129,bloomington,others,usa,47,40~60,840,23,6,48
165,olympia,washington,usa,62,60~80,6139,32,6,63
169,arlington,others,usa,-1,others,322,23,6,0
178,rexford,new york,usa,28,20~40,6935,18,6,29
185,baton rouge,others,usa,17,0~20,561,23,6,18
202,ottawa,ontario,canada,28,20~40,6226,22,1,29
212,manila,n/a,others,21,20~40,4936,16,3,22
224,strafford,others,usa,-1,others,8095,23,6,0
226,new york,new york,usa,-1,others,5787,18,6,0
228,ann arbor,others,usa,41,40~60,265,23,6,42
230,ny,new york,usa,-1,others,6023,18,6,0
232,mumbai,others,others,16,0~20,5550,23,3,17
242,neuffen,baden-wuerttemberg,germany,37,20~40,5719,1,2,38
